组数,potential_file,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
81,0.4,0.3,linear,5.577939048210305e-07,0.707675228512613,-2.3959631294457365e-08,5.460673924944783e-10,0.9959516760772309,195,10.00063,2.1076327090219595e-08,1.8665504248703035e-08,0.8856146599359196,-2.0124611797498106,0.04417134490844261,0.5459204280233125,0.08407871559401607
81,0.4,0.4,simple,5.487225430811616e-07,0.7170919334288695,-1.5236167736706124e-08,,0.9946145643338337,193,10.00063,2.1076327090219595e-08,1.8257376535011738e-08,0.8662503887351425,-0.6708203932499369,0.5023349543605021,-0.2691164491116963,0.1376625405955738
81,0.4,0.4,linear,5.585359113192159e-07,0.7056332332618775,-2.491806629070422e-08,5.759459158795916e-10,0.9946203433375834,193,10.00063,2.1076327090219595e-08,1.852594260035229e-08,0.8789929346346688,-0.5619514869490162,0.5741490727971621,-0.3593364177065351,0.1022756493730417
81,0.4,0.5,simple,5.485697699517087e-07,0.7167325478959949,-1.5278733507910236e-08,,0.9932202087612942,191,10.00063,2.1076327090219595e-08,1.8028132970857676e-08,0.8553735617067537,-0.6708203932499369,0.5023349543605021,-0.0069395160194581935,0.08224721525096149
81,0.4,0.5,linear,5.600902350971254e-07,0.7019895568351722,-2.6819783402446114e-08,6.437934113638688e-10,0.9932277403583264,191,10.00063,2.1076327090219595e-08,1.859198591885733e-08,0.8821264653595591,-0.6708203932499369,0.5023349543605021,-0.23404543670226113,0.07842704026062892
81,0.4,0.6,simple,5.479328123876377e-07,0.7188208738987244,-1.4541246447833004e-08,,0.991752632342159,189,10.00063,2.1076327090219595e-08,1.8079241799226884e-08,0.8577985016951317,-0.5619514869490162,0.5741490727971621,-0.2896322808264571,0.07710003895156065
81,0.4,0.6,linear,5.580277853416768e-07,0.7046151738248574,-2.4841813599797862e-08,5.458258110127761e-10,0.9917575579886387,189,10.00063,2.1076327090219595e-08,1.8369772046109915e-08,0.8715831732671463,-0.6708203932499369,0.5023349543605021,-0.2701519061620427,0.06307823102662448
81,0.4,0.7,simple,5.475246065558828e-07,0.7202397222215485,-1.405082108394828e-08,,0.9901877201744858,187,10.00063,2.1076327090219595e-08,1.798282426436548e-08,0.853223817764261,-0.16366341767699444,0.8699961176213894,-0.03791001566860805,0.047275511302544634
81,0.4,0.7,linear,5.556355758460829e-07,0.7079165776658253,-2.2495946990700767e-08,4.318630789089532e-10,0.9901909573884232,187,10.00063,2.1076327090219595e-08,1.8161809587086092e-08,0.8617160622599193,-0.6708203932499369,0.5023349543605021,-0.16532855581830264,0.0880478445072036
81,0.4,0.8,simple,5.472495164383008e-07,0.7211451060440295,-1.3735724325697621e-08,,0.9885226809374484,185,10.00063,2.1076327090219595e-08,1.7803143525553583e-08,0.8446985781414958,-0.5619514869490162,0.5741490727971621,-0.06637733767082439,0.07283211028409578
81,0.4,0.8,linear,5.540313318113246e-07,0.7101183920900613,-2.09466636338254e-08,3.569944112345603e-10,0.9885247598192377,185,10.00063,2.1076327090219595e-08,1.808954907333119e-08,0.858287546776857,0.6708203932499369,0.5023349543605021,-0.14580685538138133,0.10009603605974245
81,0.4,0.9,simple,5.470683378452652e-07,0.7214596010662364,-1.36029444311152e-08,,0.9867441091744988,183,10.00063,2.1076327090219595e-08,1.7828025960049427e-08,0.8458791649861265,1.5453665891097952,0.12225761704200089,-0.7044762926608628,0.09708704354914208
81,0.4,0.9,linear,5.526486841865732e-07,0.7118983505227569,-1.9650358036733664e-08,2.9324226279907724e-10,0.9867455430067135,183,10.00063,2.1076327090219595e-08,1.7713198434877175e-08,0.8404309896621851,0.8429272304235247,0.39926914317106543,-0.5992343793233802,0.06709498451429297
81,0.4,1.0,simple,5.469297734550691e-07,0.721287982839356,-1.3609536397278556e-08,,0.9848460642713478,181,10.00063,2.1076327090219595e-08,1.7812190208006687e-08,0.8451278124390269,,,-0.627089941286983,0.018202962290242947
81,0.4,1.0,linear,5.522087060497322e-07,0.7117480797488582,-1.9447178848409365e-08,2.759107001781524e-10,0.9848471651078574,181,10.00063,2.1076327090219595e-08,1.76759036398497e-08,0.8386614785482309,,,-0.5533476208435459,0.04214426449637723
81,0.4,2.0,simple,5.669410038911996e-07,0.5006367472741438,-9.275449554249267e-08,,0.9549246563633828,161,10.00063,2.1076327090219595e-08,1.836676321240384e-08,0.8714404143465244,,,0.3145141798418951,0.5325851361050292
81,0.4,2.0,linear,6.478955925774302e-07,0.500024699150887,-1.5067654499776503e-07,3.7197718627867585e-09,0.9568463271575647,161,10.00063,2.1076327090219595e-08,1.7313282612245587e-08,0.821456344748026,,,0.20528328445947952,0.08648624982230946
81,0.4,3.0,simple,5.415630978235941e-07,0.5001738993903247,-8.303163099495798e-08,,0.8987145685559591,141,10.00063,2.1076327090219595e-08,1.9727366216337263e-08,0.9359963969002781,,,0.20622865434632376,0.20546013269304128
81,0.4,3.0,linear,6.190994526540165e-07,0.5000022187973917,-1.329646529421757e-07,2.7966415911994303e-09,0.8997357327658548,141,10.00063,2.1076327090219595e-08,1.92756658561201e-08,0.9145647518947889,,,-0.12362015517287579,0.03368205453976828
81,0.4,4.0,simple,5.255682499333232e-07,0.5000583089046053,-7.711956753087493e-08,,0.7907817657203746,121,10.00063,2.1076327090219595e-08,1.9297382054782035e-08,0.9155951116234539,,,0.13531309541938938,0.08410998366237422
81,0.4,4.0,linear,6.09942515274756e-07,0.4999998861161215,-1.2758429434968262e-07,2.5350290556758166e-09,0.7914366978230964,121,10.00063,2.1076327090219595e-08,2.0341510662274323e-08,0.9651354609937582,,,-0.07272083433826677,0.021742042265668036
81,0.4,5.0,simple,5.146646972426681e-07,0.5000240607266702,-7.320590452320992e-08,,0.6213342418400795,101,10.00063,2.1076327090219595e-08,1.4275838460319821e-08,0.6773399558286644,,,-0.6518684471598643,0.11645169923010341
81,0.4,5.0,linear,6.297899461379419e-07,0.4999998623533413,-1.3825287882331202e-07,2.9833895262529353e-09,0.6219069700719755,101,10.00063,2.1076327090219595e-08,1.4715760379581788e-08,0.6982127538915731,,,-0.577353466122743,0.08976078534022659
82,0.4,0.1,simple,9.485988108988036e-09,1.4989677796639835,6.942801408157608e-08,,0.8787820531311746,58,3.0,2.472021514440618e-08,1.5136051614376443e-08,0.6122944936343528,,,-0.3215834807580405,0.7601770592712831
82,0.4,0.1,linear,1.1302922203591587e-07,0.5207344573504774,-7.599142763613679e-08,3.384397489989972e-08,0.7487320130133905,58,3.0,2.472021514440618e-08,1.993112562600573e-08,0.8062682913387124,,,-0.666553506168778,0.07091189763017644
82,0.4,0.2,simple,2.1477564252403297e-08,0.5027020251657452,6.03913527075285e-08,,0.37199770531085885,56,3.0,2.472021514440618e-08,1.610637870418117e-08,0.6515468659999023,,,-0.6520989668554484,0.09069061535214792
82,0.4,0.2,linear,2.0298824760841745e-08,0.5041289236578997,6.233223985785294e-08,-5.342033525391478e-10,0.3721771177387144,56,3.0,2.472021514440618e-08,1.609156476819124e-08,0.6509476019601926,,,-0.6140121985223362,0.160007181460884
82,0.4,0.3,simple,2.091168689848821e-08,0.49888990728599997,6.080404476661146e-08,,0.2524983711802714,54,3.0,2.472021514440618e-08,1.4608303513430334e-08,0.5909456462289722,,,-0.40939419148137535,0.37636353276254747
82,0.4,0.3,linear,1.4087483021999126e-08,0.5594383107323297,7.032367843666954e-08,-2.0585996171656064e-09,0.2553704341944101,54,3.0,2.472021514440618e-08,1.3988380400162577e-08,0.5658680686413016,,,-0.48914708203051305,0.3309372052762057
82,0.4,0.4,simple,2.1764781414819453e-08,0.47729729993249126,5.973346248169212e-08,,0.16852421376339188,52,3.0,2.472021514440618e-08,1.4686457268663857e-08,0.5941071783910905,,,-0.3526803003130532,0.1197796897038249
82,0.4,0.4,linear,5.6760566878642485e-09,0.5033519074447497,8.175052436120775e-08,-4.741746485756149e-09,0.1819655692472183,52,3.0,2.472021514440618e-08,1.6388328497222362e-08,0.6629525026982138,,,-0.6534771376866587,0.04124511062143449
82,0.4,0.5,simple,2.1487328105223056e-08,0.49260186689603697,6.029243583331574e-08,,0.14574621404458066,50,3.0,2.472021514440618e-08,1.5551044710073413e-08,0.6290820941173073,,,-0.5338362096129627,0.29829391674030614
82,0.4,0.5,linear,4.232377576726852e-09,0.5007367308794031,8.371034256728335e-08,-5.2091332964303236e-09,0.15727228576298002,50,3.0,2.472021514440618e-08,1.60895911225266e-08,0.6508677626200773,,,-0.006925473158081361,0.1466446578144259
82,0.4,0.6,simple,2.310321979053338e-08,0.4967096449464939,5.921054286647045e-08,,0.13352120848208238,48,3.0,2.472021514440618e-08,1.5633672521237465e-08,0.6324246140218215,,,-0.19610767030964052,0.07921086165013104
82,0.4,0.6,linear,4.5271415808364655e-09,0.5003641642304574,8.349965986362405e-08,-5.210201577027692e-09,0.14214466404919168,48,3.0,2.472021514440618e-08,1.6109222979777572e-08,0.6516619246909287,,,-0.21230508498074216,0.059101619478344206
82,0.4,0.7,simple,2.4979390527327667e-08,0.4982595717309508,5.7906822998724246e-08,,0.1221701755408986,46,3.0,2.472021514440618e-08,1.579342714208712e-08,0.6388871233453218,,,-0.3396001895607498,0.5495259558214353
82,0.4,0.7,linear,4.802319617493171e-09,0.5002146247408178,8.333524409024932e-08,-5.2218463094396604e-09,0.12869773328050826,46,3.0,2.472021514440618e-08,1.6033466421240835e-08,0.6485973656612359,,,-0.4590499868312452,0.5861616356460108
82,0.4,0.8,simple,2.701594377434852e-08,0.4990221099715047,5.64948516173472e-08,,0.11218832461475747,44,3.0,2.472021514440618e-08,1.6063657075166333e-08,0.6498186598024533,,,-0.54730139461199,0.22029129675245376
82,0.4,0.8,linear,5.48440409595149e-09,0.500143059801177,8.273791789292728e-08,-5.162184272416079e-09,0.11700008252070848,44,3.0,2.472021514440618e-08,1.6180011917208754e-08,0.6545255299232318,,,-0.019997396745671796,0.18923944239632154
82,0.4,0.9,simple,2.8973679838199815e-08,0.4993946103830394,5.5152244791630476e-08,,0.10189198865167504,42,3.0,2.472021514440618e-08,1.6145237016720393e-08,0.6531187905285616,,,-0.5745051828047194,0.1697607309733938
82,0.4,0.9,linear,5.4264449882253e-09,0.5000955900933485,8.300306998576005e-08,-5.2590695894513e-09,0.10565877298580872,42,3.0,2.472021514440618e-08,1.617821703385392e-08,0.654452922005204,,,-0.01818337170497141,0.2234550581166533
