potential_file,t_min,model,A,beta,C,M,r2,beta_spread,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess,dataset,group
0.4,0.4,linear,5.822705013760418e-09,0.8130767205664513,1.5496182168259108e-08,1.2240878424591326e-09,0.01072472209898856,0.5094387467359831,52,3.0,2.2848964813756437e-08,2.451333637283619e-08,1.0728423179188276,,,-0.22275825847626432,0.15125874474481393,ca115,80
0.4,0.5,simple,2.880886081112241e-09,0.8869161852500634,1.985311722648301e-08,,0.004207595972486988,0.5849667932851765,50,3.0,2.2848964813756437e-08,2.5900220546339594e-08,1.1335402175745888,,,-0.11175916550998245,0.0971239593961138,ca115,80
0.4,0.5,linear,1.5557679366654437e-09,1.4393942833837605,2.121838264122723e-08,-1.7545068188516196e-10,0.004478553107155059,1.138103474465595,50,3.0,2.2848964813756437e-08,2.5624099613114588e-08,1.1214556029990188,,,-0.12792420850534436,0.058515254601619875,ca115,80
0.4,0.6,simple,3.6407096579144974e-09,0.8059388198125672,1.935328622720178e-08,,0.0039850771342345714,0.5048163317117778,48,3.0,2.2848964813756437e-08,2.60713479735518e-08,1.1410297221804682,,,-0.16840548881972,0.00536770382418577,ca115,80
0.4,0.6,linear,4.100772416763892e-09,0.8050068152961888,1.867846401557483e-08,1.8844973300668608e-10,0.003998837775672337,0.504302771109501,48,3.0,2.2848964813756437e-08,2.6026960424950814e-08,1.1390870718694894,,,-0.16929001882336536,0.008390383521021798,ca115,80
0.4,0.7,simple,4.327523224115658e-09,0.8026327946151449,1.8940847971456083e-08,,0.0038959215494208665,0.5019167711621046,46,3.0,2.2848964813756437e-08,2.6029202779529228e-08,1.1391852099950759,,,-0.0984226709234295,0.1341432230600741,ca115,80
0.4,0.7,linear,5.142677036466848e-09,0.8020348264514553,1.7807349765701844e-08,3.082642813925391e-10,0.003913690389199864,0.501610590621274,46,3.0,2.2848964813756437e-08,2.596887240457397e-08,1.1365448113841534,,,-0.13842548843441668,0.04967802243142485,ca115,80
0.4,0.8,simple,5.025968226233406e-09,0.801561979229926,1.855603768373383e-08,,0.003878949332687287,0.5010686132804083,44,3.0,2.2848964813756437e-08,2.5717010318108532e-08,1.1255219012208972,,,-0.3867541690580416,1.4140143024594276,ca115,80
0.4,0.8,linear,6.3167452641641034e-09,0.8011169039807045,1.685835725017585e-08,4.4401175042242474e-10,0.003904722281965811,0.5008432855918291,44,3.0,2.2848964813756437e-08,2.5949504337760113e-08,1.1356971551786437,,,-0.37746349105444926,1.4004152175323976,ca115,80
0.4,0.9,simple,5.796406219675412e-09,0.8010494594573987,1.81478240810228e-08,,0.003910087422428266,0.5006924105570187,42,3.0,2.2848964813756437e-08,2.5579915276527935e-08,1.1195218463957415,,,-0.08017368964892409,0.19327817270666425,ca115,80
