file,potential,t_min,model,A,beta,C,M,r2,n_points,t_max_used,sigma_noise,resid_mad,mad_ratio,runs_z,runs_p,rho1_bin,bin_excess
Ca3,0.4,0.8,simple,1.4929511023515824e-06,0.658940895751711,2.472859030802754e-07,,0.9993251528836901,865,44.0447337182106,3.742632754220242e-09,6.811091871583687e-09,1.8198664733811807,-5.790035296405753,7.037163457002425e-09,0.8769129595898256,6.594157905356517
Ca3,0.4,0.8,linear,1.5741948605495684e-06,0.5865062479338116,1.5030914157813793e-07,1.3576993659774338e-09,0.999896350279017,865,44.0447337182106,3.742632754220242e-09,2.9772721795929942e-09,0.7955020904030146,-5.489177763350465,4.038090733130293e-08,0.7294029062924808,0.732758432661695
Ca3,0.4,0.9,simple,1.4963563929890636e-06,0.6631219010062315,2.492704000016386e-07,,0.9992979876734186,863,44.0447337182106,3.742632754220242e-09,6.641750844542676e-09,1.7746199749503475,-5.790035296405753,7.037163457002425e-09,0.8818933455016369,6.496197285700118
Ca3,0.4,0.9,linear,1.574981885914465e-06,0.5847625735799338,1.4831217346314941e-07,1.3771631536059996e-09,0.9998876424853812,863,44.0447337182106,3.742632754220242e-09,2.970754750234672e-09,0.7937606880837587,-5.489177763350465,4.038090733130293e-08,0.6610451729880144,0.7576442372866358
Ca3,0.4,1.0,simple,1.4999834383495924e-06,0.6671194298679912,2.5109809934273643e-07,,0.9992706494960872,861,44.0447337182106,3.742632754220242e-09,6.598399707851247e-09,1.7630369157675982,-5.700055704218277,1.1976828581139612e-08,0.8687830565354154,6.26719652918059
Ca3,0.4,1.0,linear,1.5757380439897746e-06,0.5828207243991301,1.4611886512258136e-07,1.3980770678304293e-09,0.9998792625989676,861,44.0447337182106,3.742632754220242e-09,2.979850714585304e-09,0.7961910532699702,-5.39675288928946,6.785774391185657e-08,0.5448298187544343,0.7353228493056084
Ca3,0.4,2.0,simple,1.5463469452058473e-06,0.7034052340885629,2.6531859593767906e-07,,0.9990287922241953,841,44.0447337182106,3.742632754220242e-09,5.53178594744421e-09,1.4780466881786614,-5.6166342864407595,1.9471293464122916e-08,0.8286055964333113,5.3815757755455005
Ca3,0.4,2.0,linear,1.578044953845887e-06,0.5613332513672576,1.232012054956794e-07,1.592460487774137e-09,0.9997945854471989,841,44.0447337182106,3.742632754220242e-09,3.1881972550042187e-09,0.8518594968766747,-4.995780927688599,5.859815178976894e-07,0.6906399091263108,0.24296452489398526
Ca3,0.4,3.0,simple,1.6131892009761678e-06,0.7400794420164093,2.766131235801131e-07,,0.9988819354315269,821,44.0447337182106,3.742632754220242e-09,4.674231606139213e-09,1.2489153793859384,-5.535235700230578,3.1081009549237575e-08,0.8255550376600521,4.267992210896847
Ca3,0.4,3.0,linear,1.5765219884077974e-06,0.5501853742384114,1.1175761790194011e-07,1.6768850035600723e-09,0.9996930554228748,821,44.0447337182106,3.742632754220242e-09,3.231302853830556e-09,0.8633769504066078,-2.9537165152530087,0.003139722757765342,0.6778609582021098,0.2048300828668702
Ca3,0.4,4.0,simple,1.7066267875131099e-06,0.7819817696753417,2.8740024861551475e-07,,0.9987795748519821,801,44.0447337182106,3.742632754220242e-09,3.771184800472312e-09,1.0076288666634134,-5.444098181628318,5.20684966075461e-08,0.8061525176953998,3.757958156725983
Ca3,0.4,4.0,linear,1.5749984884646935e-06,0.5460780956522209,1.0776646044959377e-07,1.7031330338598408e-09,0.999577348220782,801,44.0447337182106,3.742632754220242e-09,3.1971154515959557e-09,0.8542423640125647,-2.5628931020687498,0.01038040032546023,0.6746092253201657,0.19812275892163372
Ca3,0.4,5.0,simple,1.815454869292138e-06,0.8221900590687802,2.959434759685246e-07,,0.9986750933442516,781,44.0447337182106,3.742632754220242e-09,3.3351026810896253e-09,0.891111391393911,-5.350226657247438,8.78441414738817e-08,0.8017688289244084,3.4139806170809104
Ca3,0.4,5.0,linear,1.5754996086731973e-06,0.5470290893739406,1.0865057506006716e-07,1.6976870334379402e-09,0.9994329715028493,781,44.0447337182106,3.742632754220242e-09,3.1522184285473864e-09,0.8422462569945992,-2.4113697610129297,0.01589272685236904,0.6916679761905019,0.19942415428339275
Ca4,0.4,0.1,simple,1.470985370151004e-06,0.6903953087181869,3.409221492409258e-07,,0.9986454961542082,688,34.46525780238846,3.5455417296281953e-09,8.422240498419115e-09,2.3754453171539227,-4.974893639509968,6.528347474318445e-07,0.8846931675273915,12.14773949857436
Ca4,0.4,0.1,linear,1.4950206564494283e-06,0.6831986923417275,3.2199456196388656e-07,5.531073051792181e-10,0.9986801863316115,688,34.46525780238846,3.5455417296281953e-09,8.854720630552089e-09,2.4974238933807844,-4.974893639509968,6.528347474318445e-07,0.8915222764415434,12.370001808015239
Ca4,0.4,0.2,simple,1.4653137149966227e-06,0.6897722124689799,3.4161095205725213e-07,,0.9996104933814212,686,34.46525780238846,3.5455417296281953e-09,8.480949580641034e-09,2.392003881880807,-4.974893639509968,6.528347474318445e-07,0.863079613445695,11.991725432467927
Ca4,0.4,0.2,linear,1.4907738815115848e-06,0.6795587039843509,3.211387656353353e-07,5.25781107176682e-10,0.9996487284399455,686,34.46525780238846,3.5455417296281953e-09,9.237403312669758e-09,2.60535738036242,-4.974893639509968,6.528347474318445e-07,0.8733717596399302,14.04873384838472
Ca4,0.4,0.3,simple,1.461923680063999e-06,0.7011079161384683,3.486236532124794e-07,,0.9996567445340729,684,34.46525780238846,3.5455417296281953e-09,8.061962147050145e-09,2.2738308449963065,-4.974893639509968,6.528347474318445e-07,0.8607613794860223,11.372584336135798
Ca4,0.4,0.3,linear,1.4687280922784401e-06,0.6976917866400877,3.4293000989610087e-07,1.379719917066944e-10,0.9996596742377906,684,34.46525780238846,3.5455417296281953e-09,8.481569423041906e-09,2.392178704925673,-4.974893639509968,6.528347474318445e-07,0.8648184579937087,11.271014449015583
Ca4,0.4,0.4,simple,1.4619442715695385e-06,0.7067709139622883,3.5175935234172173e-07,,0.9996184760457146,682,34.46525780238846,3.5455417296281953e-09,7.885652443418052e-09,2.2241036898598243,-4.974893639509968,6.528347474318445e-07,0.8493901367832947,10.237812870615235
Ca4,0.4,0.4,linear,1.4592172904373146e-06,0.7084113801478532,3.5416929135657056e-07,-5.5654703584811514e-11,0.9996189824414421,682,34.46525780238846,3.5455417296281953e-09,7.790193410662566e-09,2.197180009352051,-4.974893639509968,6.528347474318445e-07,0.847334663726766,10.615174945940083
Ca4,0.4,0.5,simple,1.462891902817266e-06,0.7115408348963305,3.5421955759661145e-07,,0.9995777967185422,680,34.46525780238846,3.5455417296281953e-09,7.656789737315141e-09,2.1595542574866475,-4.873314355182523,1.0974139070326722e-06,0.8618884048554241,10.327525916992151
Ca4,0.4,0.5,linear,1.4517975515516176e-06,0.7194085334612199,3.64658240846383e-07,-2.324234072095043e-10,0.9995871668456592,680,34.46525780238846,3.5455417296281953e-09,7.212561095700941e-09,2.034262080581206,-4.873314355182523,1.0974139070326722e-06,0.8508059568666353,9.722627670399596
Ca4,0.4,0.6,simple,1.464360460620221e-06,0.7155947540143273,3.561855378821781e-07,,0.999533786433266,678,34.46525780238846,3.5455417296281953e-09,7.4639693635333e-09,2.1051703611780677,-4.873314355182523,1.0974139070326722e-06,0.8625516170067615,10.50728036864925
