file,potential,t_min,model,A,beta,C,M,r2,n_points
Ca10,0.4,0.4,linear,1.5331872290831299e-06,0.5953023312296294,1.674939975483357e-07,6.532593025450805e-10,0.9998042316777905,2393
Ca10,0.4,0.5,simple,1.4449285784933707e-06,0.6819272338533398,2.5914911735129004e-07,,0.996330798934485,2391
Ca10,0.4,0.5,linear,1.5331697192242064e-06,0.5959561543133073,1.68032823441294e-07,6.507433185473766e-10,0.9997789572046619,2391
Ca10,0.4,0.6,simple,1.4554605280716844e-06,0.6902622310621879,2.615291168485459e-07,,0.9961994060808821,2389
Ca10,0.4,0.6,linear,1.5332525198271773e-06,0.5965687154017881,1.685157051292887e-07,6.485484456837069e-10,0.9997547729747697,2389
Ca10,0.4,0.7,simple,1.4663278347417696e-06,0.6979811270209648,2.6360394863209297e-07,,0.9960808745842687,2387
Ca10,0.4,0.7,linear,1.5333823945654331e-06,0.5970835456353701,1.6890840136363717e-07,6.467991420501565e-10,0.9997313325415919,2387
Ca10,0.4,0.8,simple,1.477482678143401e-06,0.7052465589035479,2.654544675805541e-07,,0.9959733480143732,2385
Ca10,0.4,0.8,linear,1.5335491466836706e-06,0.5975625587777503,1.692639156239453e-07,6.452422475110253e-10,0.9997085960442316,2385
Ca10,0.4,0.9,simple,1.488876891355206e-06,0.7121459839286594,2.6712742493138357e-07,,0.9958734786601071,2383
Ca10,0.4,0.9,linear,1.5337489971360208e-06,0.5980061286348743,1.6958359642633226e-07,6.438686801337969e-10,0.9996860361282849,2383
Ca10,0.4,1.0,simple,1.5006080161246302e-06,0.7188185461669938,2.6867374434862517e-07,,0.9957846675902728,2381
Ca10,0.4,1.0,linear,1.53404704795299e-06,0.5985610421284654,1.6997351422001783e-07,6.422204764347589e-10,0.9996638853335876,2381
Ca10,0.4,2.0,simple,1.6268645894892782e-06,0.7757678248804135,2.7962348768191145e-07,,0.9950772882661515,2361
Ca10,0.4,2.0,linear,1.537797577254894e-06,0.6032672064610998,1.7302749731125643e-07,6.299181933564534e-10,0.9994457098682834,2361
Ca10,0.4,3.0,simple,1.7857772182806826e-06,0.8292427650432073,2.8731173390819384e-07,,0.9948429382580534,2341
Ca10,0.4,3.0,linear,1.558736477561475e-06,0.6194405805826328,1.8189660468266482e-07,5.972390801839404e-10,0.9992530820107031,2341
Ca10,0.4,4.0,simple,1.97320937291034e-06,0.8802188456416918,2.9314260669280357e-07,,0.9947828903862732,2321
Ca10,0.4,4.0,linear,1.5935579872699621e-06,0.6408967483384304,1.9219890659195606e-07,5.602251039958928e-10,0.9990753260147187,2321
Ca10,0.4,5.0,simple,2.1897674865857226e-06,0.9291921479002334,2.977384464459412e-07,,0.9947950735741808,2301
