E,current_mean,current_sd,day,n_replicates,polished
0.1288001,5.805082000000001e-07,5.173076121355004e-08,Y,10,False
0.133754,5.863139e-07,5.330663208780353e-08,Y,10,False
0.138707,5.922983000000001e-07,5.262089617263384e-08,Y,10,False
0.143661,5.976717999999999e-07,5.393676341132168e-08,Y,10,False
0.148615,6.031863000000001e-07,5.33887776431839e-08,Y,10,False
0.153569,6.077239e-07,5.444722523579853e-08,Y,10,False
0.158523,6.127120999999999e-07,5.4107548034652434e-08,Y,10,False
0.163477,6.168553e-07,5.479062887848615e-08,Y,10,False
0.16843,6.212047000000001e-07,5.456635886708139e-08,Y,10,False
0.173384,6.249532e-07,5.498475949408365e-08,Y,10,False
0.178338,6.289459000000001e-07,5.4996655048688584e-08,Y,10,False
0.183292,6.323371999999999e-07,5.51695486916872e-08,Y,10,False
0.188246,6.359445999999999e-07,5.534392825715693e-08,Y,10,False
0.1932,6.390355e-07,5.521084180213159e-08,Y,10,False
0.198154,6.42408e-07,5.564239197071083e-08,Y,10,False
0.203107,6.450383999999999e-07,5.51551501397044e-08,Y,10,False
0.208061,6.48101e-07,5.5836888163451395e-08,Y,10,False
0.213015,6.506282000000002e-07,5.510434369408237e-08,Y,10,False
0.217969,6.533711e-07,5.6020699712893815e-08,Y,10,False
0.222923,6.555883e-07,5.496433553385121e-08,Y,10,False
0.227877,6.581249e-07,5.610084267826206e-08,Y,10,False
